timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656434171582,277,HTTP Request,200,OK,Thread Group Start 1-45,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,264,0,1
1656434171826,33,HTTP Request,200,OK,Thread Group Start 1-100,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,20,0,1
1656434171653,205,HTTP Request,200,OK,Thread Group Start 1-63,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,192,0,1
1656434171721,136,HTTP Request,200,OK,Thread Group Start 1-77,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,124,0,1
1656434171576,283,HTTP Request,200,OK,Thread Group Start 1-44,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,270,0,2
1656434171865,2,HTTP Request,200,OK,Thread Group Start 1-102,text,true,,183,180,102,102,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434171483,376,HTTP Request,200,OK,Thread Group Start 1-23,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,363,0,1
1656434171593,266,HTTP Request,200,OK,Thread Group Start 1-48,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,253,0,1
1656434171634,224,HTTP Request,200,OK,Thread Group Start 1-59,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,211,0,2
1656434171924,3,HTTP Request,200,OK,Thread Group Start 1-106,text,true,,183,180,106,106,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434171568,289,HTTP Request,200,OK,Thread Group Start 1-42,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,278,0,2
1656434171766,91,HTTP Request,200,OK,Thread Group Start 1-87,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,79,0,1
1656434171520,337,HTTP Request,200,OK,Thread Group Start 1-32,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,325,0,1
1656434171433,423,HTTP Request,200,OK,Thread Group Start 1-2,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,411,0,36
1656434171431,426,HTTP Request,200,OK,Thread Group Start 1-9,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,415,0,40
1656434171431,426,HTTP Request,200,OK,Thread Group Start 1-15,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,414,0,39
1656434171601,258,HTTP Request,200,OK,Thread Group Start 1-51,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,245,0,2
1656434171679,179,HTTP Request,200,OK,Thread Group Start 1-69,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,166,0,1
1656434171468,389,HTTP Request,200,OK,Thread Group Start 1-20,text,true,,181,180,101,101,http://localhost:5165/api/authentication/entermarket,378,0,2
1656434171880,2,HTTP Request,200,OK,Thread Group Start 1-103,text,true,,183,180,103,103,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434171617,241,HTTP Request,200,OK,Thread Group Start 1-55,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,228,0,1
1656434171589,268,HTTP Request,200,OK,Thread Group Start 1-47,text,true,,182,180,101,101,http://localhost:5165/api/authentication/entermarket,257,0,1
1656434171986,61,HTTP Request,200,OK,Thread Group Start 1-110,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,61,0,2
1656434171992,76,HTTP Request,200,OK,Thread Group Start 1-109,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,76,0,1
1656434172000,72,HTTP Request,200,OK,Thread Group Start 1-112,text,true,,183,180,10,10,http://localhost:5165/api/authentication/entermarket,72,0,6
1656434171992,77,HTTP Request,200,OK,Thread Group Start 1-111,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,77,0,1
1656434172023,52,HTTP Request,200,OK,Thread Group Start 1-114,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,52,0,1
1656434172027,72,HTTP Request,200,OK,Thread Group Start 1-113,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,71,0,2
1656434172034,75,HTTP Request,200,OK,Thread Group Start 1-115,text,true,,183,180,10,10,http://localhost:5165/api/authentication/entermarket,75,0,3
1656434172045,64,HTTP Request,200,OK,Thread Group Start 1-116,text,true,,183,180,10,10,http://localhost:5165/api/authentication/entermarket,64,0,3
1656434172048,64,HTTP Request,200,OK,Thread Group Start 1-117,text,true,,183,180,11,11,http://localhost:5165/api/authentication/entermarket,64,0,5
1656434172063,58,HTTP Request,200,OK,Thread Group Start 1-118,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,58,0,1
1656434172074,49,HTTP Request,200,OK,Thread Group Start 1-119,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,49,0,6
1656434172082,45,HTTP Request,200,OK,Thread Group Start 1-120,text,true,,183,180,8,8,http://localhost:5165/api/authentication/entermarket,45,0,4
1656434172088,39,HTTP Request,200,OK,Thread Group Start 1-121,text,true,,183,180,8,8,http://localhost:5165/api/authentication/entermarket,39,0,2
1656434172096,32,HTTP Request,200,OK,Thread Group Start 1-122,text,true,,183,180,8,8,http://localhost:5165/api/authentication/entermarket,32,0,1
1656434172104,25,HTTP Request,200,OK,Thread Group Start 1-123,text,true,,183,180,9,9,http://localhost:5165/api/authentication/entermarket,25,0,3
1656434172113,21,HTTP Request,200,OK,Thread Group Start 1-125,text,true,,183,180,5,5,http://localhost:5165/api/authentication/entermarket,21,0,1
1656434172109,25,HTTP Request,200,OK,Thread Group Start 1-124,text,true,,183,180,5,5,http://localhost:5165/api/authentication/entermarket,24,0,1
1656434172125,10,HTTP Request,200,OK,Thread Group Start 1-127,text,true,,183,180,5,5,http://localhost:5165/api/authentication/entermarket,10,0,1
1656434172119,17,HTTP Request,200,OK,Thread Group Start 1-126,text,true,,183,180,6,6,http://localhost:5165/api/authentication/entermarket,17,0,2
1656434172129,7,HTTP Request,200,OK,Thread Group Start 1-128,text,true,,183,180,6,6,http://localhost:5165/api/authentication/entermarket,7,0,2
1656434172138,4,HTTP Request,200,OK,Thread Group Start 1-129,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,4,0,3
1656434172144,2,HTTP Request,200,OK,Thread Group Start 1-130,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172147,2,HTTP Request,200,OK,Thread Group Start 1-131,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172151,3,HTTP Request,200,OK,Thread Group Start 1-132,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172155,3,HTTP Request,200,OK,Thread Group Start 1-133,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,3,0,1
